Deletions;5' breakpoint;3' breakpoint;Deletion length - bp;Deletion of replication origins;Location of the deleted region;Single mtDNA deletions;Multiple mtDNA deletions;Healthy tissues;Parkinson Disease;Inclusion Body Myositis;Tumour;Other clinical features;References
8034:16071;8034;16071;8036;None;Inside the major arc;;ad-PEO;;;;;Ptosis; Proximal limb weakness;[15]
8034:16076;8034;16076;8041;None;Inside the major arc;;ad/ar-PEO; Mitochondrial myopa(...);Sublimons; Aged tissues;;Inclusion body myositis;;Chronic Uremia; Ptosis; Proxim(...);[15; 23-25; 38; 163; 167; 176;(...)
8035:16075;8035;16075;8039;None;Inside the major arc;;;Aged tissues;;;;;[324]
8036:13095;8036;13095;5058;None;Inside the major arc;;;Aged tissues (Cardiomyocytes);;;;;[28]
8049:14115;8049;14115;6065;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
8050:13285;8050;13285;5234;None;Inside the major arc;PS;;;;;;;[317]
8053:15444;8053;15444;7390;None;Inside the major arc;;;;;Inclusion body myopathy (ad);;;[22]
8055:13095;8055;13095;5039;None;Inside the major arc;;;Aged tissues;;;;;[6]
8058:12215;8058;12215;4156;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
8076:15911;8076;15911;7834;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
8083:16071;8083;16071;7987;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8087:15550;8087;15550;7462;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8093:16071;8093;16071;7977;None;Inside the major arc;;;Sublimons;;;;;[23]
8095:12393;8095;12393;4297;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
8113:14849;8113;14849;6735;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8130:13161;8130;13161;5030;None;Inside the major arc;PS;;;;;;;[317]
8134:13573;8134;13573;5438;None;Inside the major arc;;;Aged tissues;;;;;[14]
8135:15340;8135;15340;7204;None;Inside the major arc;KSS;;;;;;;[312]
8137:14771;8137;14771;6633;None;Inside the major arc;;;Aged tissues;;;;;[14]
8143:15271;8143;15271;7127;None;Inside the major arc;;ad-PEO;;;;;Ptosis; Proximal limb weakness;[15]
8145:13584;8145;13584;5438;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[322]
8151:15783;8151;15783;7631;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8156:16037;8156;16037;7880;None;Inside the major arc;;ad-PEO;;;Inclusion body myositis;;;[24; 176]
8156:15151;8156;15151;6994;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8170:16333;8170;16333;8162;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8175:16073;8175;16073;7897;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8176:11614;8176;11614;3437;None;Inside the major arc;;;Aged tissues;;;;;[6]
8187:14886;8187;14886;6698;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8198:13433;8198;13433;5234;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8208:16070;8208;16070;7861;None;Inside the major arc;;ad-PEO;;;;;;[176]
8211:15340;8211;15340;7128;None;Inside the major arc;PEO;;;;;;;[138]
8213:16070;8213;16070;7856;None;Inside the major arc;;;Aged tissues;;;;;[163]
8215:16070;8215;16070;7854;None;Inside the major arc;;;Aged tissues;;;;;[324]
8220:13998;8220;13998;5777;None;Inside the major arc;;;;;;;Diabetic amyotrophy, myoatroph(...);[126]
8222:13476;8222;13476;5253;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8228:15965;8228;15965;7736;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8231:16072;8231;16072;7840;None;Inside the major arc;;ad-PEO;;;;;;[176]
8231:16280;8231;16280;8048;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8232:15542;8232;15542;7309;None;Inside the major arc;;;Aged tissues;;;;;[33]
8232:16071;8232;16071;7838;None;Inside the major arc;;ad-PEO;;;;;;[176]
8233:13383;8233;13383;5149;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8233:13967;8233;13967;5733;None;Inside the major arc;;;Aged tissues;;;;;[32]
8233:16067;8233;16067;7833;None;Inside the major arc;;;;;Inclusion body myositis;;;[24; 25]
8239:13407;8239;13407;5167;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8240:13341;8240;13341;5100;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8244:16381;8244;16381;8136;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8250:13410;8250;13410;5159;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8253:16066;8253;16066;7812;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
8254:13457;8254;13457;5202;None;Inside the major arc;;;;;;;Epidermal keranocytes (UVB irr(...);[314]
8254:16070;8254;16070;7815;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[167]
8255:16076;8255;16076;7820;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8256:15261;8256;15261;7004;None;Inside the major arc;;;Aged tissues;;;;;[290]
8257:16162;8257;16162;7904;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8259:13359;8259;13359;5099;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8261:15652;8261;15652;7390;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8262:10844;8262;10844;2581;None;Inside the major arc;;;;;;Solid tumors;;[157]
8263:13531;8263;13531;5267;None;Inside the major arc;;;;;;;Crohn's disease;[20]
8264:16071;8264;16071;7806;None;Inside the major arc;;Mitochondrial myopathy;;;;;Ptosis; Proximal limb weakness(...);[15]
8268:14906;8268;14906;6637;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8270:15286;8270;15286;7015;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8271:13410;8271;13410;5138;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8278:13770;8278;13770;5491;None;Inside the major arc;KSS;;;;;;;[274]
8280:8290;8280;8290;9;None;Inside the major arc;KSS;;Normal tissues (polymorphism);;;;Adrenal failure; Sensineural h(...);[53; 61-106]
8281:16371;8281;16371;8089;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8283:16075;8283;16075;7791;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8287:16072;8287;16072;7784;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8289:13791;8289;13791;5501;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
8291:16276;8291;16276;7984;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8292:16034;8292;16034;7741;None;Inside the major arc;;;Sublimons;;;;;[23]
8294:16074;8294;16074;7779;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
8295:16073;8295;16073;7777;None;Inside the major arc;;ad-PEO;;;;;;[176]
8295:13808;8295;13808;5512;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8298:13152;8298;13152;4853;None;Inside the major arc;;;;;;;Epidermal keranocytes (UVB irr(...);[314]
8298:15589;8298;15589;7290;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
8299:13153;8299;13153;4853;None;Inside the major arc;;;Aged tissues;;;;;[14]
8299:16071;8299;16071;7771;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8304:15055;8304;15055;6750;None;Inside the major arc;PS;;;;;;;[107]
8305:14619;8305;14619;6313;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8308:13382;8308;13382;5073;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8310:16078;8310;16078;7767;None;Inside the major arc;;ad-PEO;;;;;;[176]
8312:13667;8312;13667;5354;None;Inside the major arc;;;Controls;;;;Profound presbycusis;[148]
8316:15802;8316;15802;7485;None;Inside the major arc;;;Aged tissues;;;;;[175]
8327:13358;8327;13358;5030;None;Inside the major arc;;;;;;Thyroid tumor;;[295]
8344:15633;8344;15633;7288;None;Inside the major arc;;;Aged tissues;;;;;[175]
8372:12085;8372;12085;3712;None;Inside the major arc;;;;;;;Hearts exposed to doxorubicin;[159]
8372:16073;8372;16073;7700;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8373:16067;8373;16067;7693;None;Inside the major arc;;;Sublimons;;;;;[23]
8376:16388;8376;16388;8011;None;Inside the major arc;;;Stem cells;;;;;[303]
8380:13338;8380;13338;4957;None;Inside the major arc;PEO;;;;;;;[26]
8385:15918;8385;15918;7532;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8387:11364;8387;11364;2976;None;Inside the major arc;KSS;;;;;;;[322]
8387:12821;8387;12821;4433;None;Inside the major arc;;;Aged tissues;;;;;[32]
8387:15515;8387;15515;7127;None;Inside the major arc;;Mitochondrial myopathy (ad);;;;;;[15]
8387:16067;8387;16067;7679;None;Inside the major arc;;;;;;;ad-Oculopharyngeal muscular dy(...);[37]
8387:16071;8387;16071;7683;None;Inside the major arc;;;;;;;Chronic fatigue syndrome;[162]
8387:16078;8387;16078;7690;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8387:15267;8387;15267;6879;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8394:16070;8394;16070;7675;None;Inside the major arc;;;;;Inclusion body myositis;;Hippocampal tissue of patients(...);[24; 330]
8395:16071;8395;16071;7675;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8395:16073;8395;16073;7677;None;Inside the major arc;;ad/ar-PEO (POLGmut);;;;;;[286]
8398:16072;8398;16072;7673;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
8398:16073;8398;16073;7674;None;Inside the major arc;;ad-PEO;;;Inclusion body myositis;;;[24; 176]
8407:13552;8407;13552;5144;None;Inside the major arc;;;;;;;Epidermal keranocytes (UVB irr(...);[314]
8408:14118;8408;14118;5709;None;Inside the major arc;;;Aged tissues;;;;;[33]
8409:14494;8409;14494;6084;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8410:16072;8410;16072;7661;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8412:15664;8412;15664;7251;None;Inside the major arc;PEO;;;;;;Hippocampal tissue of patients(...);[142; 330]
8412:12091;8412;12091;3678;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8417:15127;8417;15127;6709;None;Inside the major arc;;ad-PEO;;;;;;[176]
8418:14127;8418;14127;5708;None;Inside the major arc;;;Aged tissues;;;;Hippocampal tissue of patients(...);[33; 330]
8418:13992;8418;13992;5573;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8420:11498;8420;11498;3077;None;Inside the major arc;KSS;;;;;;;[3]
8421:12399;8421;12399;3977;None;Inside the major arc;;;Controls;;;;;[2]
8421:13564;8421;13564;5142;None;Inside the major arc;;;Controls;;;;Profound presbycusis;[148]
8424:11503;8424;11503;3078;None;Inside the major arc;PEO;;;;;;;[304]
8424:13451;8424;13451;5026;None;Inside the major arc;;;;;;;Epidermal keranocytes (UVB irr(...);[314]
8426:12894;8426;12894;4467;None;Inside the major arc;KSS;;;;;;;[40]
8426:14058;8426;14058;5631;None;Inside the major arc;PEO;Mitochondrial myopathy;;;;;;[322]
8426:15640;8426;15640;7213;None;Inside the major arc;KSS;;;;;;Multisystemic mitochondrial di(...);[322]
8428:15482;8428;15482;7053;None;Inside the major arc;;;;Parkinson Disease;;;Hippocampal tissue of patients(...);[33; 330]
8434:13764;8434;13764;5329;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8437:14068;8437;14068;5630;None;Inside the major arc;PS;;;;;;;[31]
8439:16075;8439;16075;7635;None;Inside the major arc;;;Aged tissues;;;;;[25; 163]
8440:16074;8440;16074;7633;None;Inside the major arc;;;Aged tissues;;;;;[324]
8441:14505;8441;14505;6063;None;Inside the major arc;;;Aged tissues;;;;;[14]
8445:14114;8445;14114;5668;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8450:16159;8450;16159;7708;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
8458:342;8458;342;8452;None;Inside the major arc;;;Stem cells;;;;;[303]
8461:15603;8461;15603;7141;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8464:13138;8464;13138;4673;None;Inside the major arc;;;Aged tissues;;;;;[14]
8465:14371;8465;14371;5905;None;Inside the major arc;;;;;;;;[326]
8467:13444;8467;13444;4976;None;Inside the major arc;PEO;;;;;;;[44]
8468:13446;8468;13446;4977;None;Inside the major arc;KSS; PEO;;;;Inclusion body myositis;;;[11; 24; 44]
8468:16073;8468;16073;7604;None;Inside the major arc;PEO;;;;;;;[322]
8470:13447;8470;13447;4976;None;Inside the major arc;;;;;;Solid tumors;;[157]
8470:13477;8470;13477;5006;None;Inside the major arc;;;;;;;Terminally failign hearts;[323]
8470:13858;8470;13858;5387;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8472:387;8472;387;8483;None;Inside the major arc;;;Stem cells;;;;;[303]
8475:14381;8475;14381;5905;None;Inside the major arc;KSS;;Aged tissues;;;;Hippocampal tissue of patients(...);[9; 322; 330]
8476:14812;8476;14812;6335;None;Inside the major arc;KSS;;Aged tissues;;;;;[18; 44; 163]
8476:15545;8476;15545;7068;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8476:15546;8476;15546;7069;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8477:13590;8477;13590;5112;None;Inside the major arc;;;Aged tissues;;;;Multisystemic mitochondrial di(...);[8; 322; 326; 330]
8478:14812;8478;14812;6333;None;Inside the major arc;;;Aged tissues;;;;;[324]
8479:13594;8479;13594;5114;None;Inside the major arc;PEO;;;;;;;[44]
8482:13460;8482;13460;4977;None;Inside the major arc;KSS; PEO; PS;ad/ar-PEO; ad/ar-PEO (POLGmut);Aged tissues; Unfertilized ooc(...);Parkinson Disease;Inclusion body myopathy (ad); (...);Thyroid, Hepatic, Warthin's, G(...);Reye-like; Alzheimer Disease; (...);[2; 6; 11; 18; 21; 22; 24; 25;(...)
8483:13448;8483;13448;4964;None;Inside the major arc;;MNGIE;;;;;;[291]
8484:13448;8484;13448;4963;None;Inside the major arc;;;Aged tissues;Parkinson Disease;;;;[114]
8484:13460;8484;13460;4975;None;Inside the major arc;;;Aged tissues;;;;;[324]
8488:13039;8488;13039;4550;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8491:13448;8491;13448;4956;None;Inside the major arc;;;;;;Solid tumors;;[157]
8498:15614;8498;15614;7115;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
8499:293;8499;293;8362;None;Inside the major arc;;;Stem cells;;;;;[303]
8503:13425;8503;13425;4921;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
8515:311;8515;311;8364;None;Inside the major arc;;;Stem cells;;;;;[303]
8518:15422;8518;15422;6903;None;Inside the major arc;PEO; KSS;;;;;;MELAS;[40; 43]
8519:130;8519;130;8179;None;Inside the major arc;;;Stem cells;;;;;[303]
8519:13559;8519;13559;5039;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8526:391;8526;391;8433;None;Inside the major arc;;;Stem cells;;;;;[303]
8527:13718;8527;13718;5190;None;Inside the major arc;;;Aged tissues;;;;;[14]
8534:12769;8534;12769;4234;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
8536:15439;8536;15439;6902;None;Inside the major arc;PS;;;;;;Anemia and Renal Tubulopathy;[1; 2]
8536:15642;8536;15642;7105;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[3]
8538:15571;8538;15571;7032;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
8544:15291;8544;15291;6746;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8547:15727;8547;15727;7179;None;Inside the major arc;;;Aged tissues;;;;;[175]
8553:15585;8553;15585;7031;None;Inside the major arc;;;Aged tissues;;;;;[175]
8555:13980;8555;13980;5424;None;Inside the major arc;;;Aged tissues;;;;;[9]
8561:13985;8561;13985;5423;None;Inside the major arc;;;Aged tissues;;;;;[9]
8562:13759;8562;13759;5196;None;Inside the major arc;PEO;;;;;;HeLa cells;[150; 151]
8562:14429;8562;14429;5866;None;Inside the major arc;KSS;;;;;;;[322]
8563:14596;8563;14596;6032;None;Inside the major arc;KSS; PEO;;;;;;;[11]
8563:15435;8563;15435;6871;None;Inside the major arc;;ad/ar-PEO;;;;;Ptosis; Proximal limb weakness(...);[15]
8564:16072;8564;16072;7507;None;Inside the major arc;;;Sublimons;;;;;[23]
8565:14121;8565;14121;5555;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8569:15879;8569;15879;7309;None;Inside the major arc;;;;;;;Crohn's disease;[20]
8571:13237;8571;13237;4665;None;Inside the major arc;KSS; PEO;;;;;;;[11-13]
8572:13997;8572;13997;5424;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
8572:15826;8572;15826;7253;None;Inside the major arc;KSS;;;;;;;[259]
8576:12984;8576;12984;4407;None;Inside the major arc;;;Aged tissues;;;;Ptosis;[2; 14]
8576:13962;8576;13962;5385;None;Inside the major arc;;;Aged tissues;;;;;[9]
8576:16075;8576;16075;7498;None;Inside the major arc;;;Aged tissues;;;;;[290]
8577:15731;8577;15731;7153;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[136; 265]
8577:14002;8577;14002;5424;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[326; 330]
8580:15239;8580;15239;6658;None;Inside the major arc;;;Aged tissues;;;;;[290]
8580:15539;8580;15539;6958;None;Inside the major arc;;;Aged tissues;;;;;[290]
8583:15958;8583;15958;7374;None;Inside the major arc;PS;;;;;;;[143]
8583:15626;8583;15626;7042;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8587:15738;8587;15738;7150;None;Inside the major arc;;;Aged tissues; Unfertilized ooc(...);;;;Hippocampal tissue of patients(...);[21; 175; 330]
8588:13730;8588;13730;5141;None;Inside the major arc;PEO; KSS;;;;;;;[2]
8601:15731;8601;15731;7129;None;Inside the major arc;;Multiple deletion patient (POL(...);Aged tissues;;;;PEO, Parkinson;[33; 290]
8609:13099;8609;13099;4489;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8609:14391;8609;14391;5781;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8612:13575;8612;13575;4962;None;Inside the major arc;;;Aged tissues;;;;;[6]
8612:16072;8612;16072;7459;None;Inside the major arc;;;;;;;Chronic fatigue syndrome;[162]
8623:15662;8623;15662;7038;None;Inside the major arc;;;;;;;Mitochondrial myopathy;[110]
8623:15663;8623;15663;7039;None;Inside the major arc;;;Stem cells;;;;Myopathic symptoms; Skeletal m(...);[29; 303; 329-330]
8624:13886;8624;13886;5261;None;Inside the major arc;PEO;;;;;;;[11; 265]
8624:15662;8624;15662;7037;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[292]
8625:14816;8625;14816;6190;None;Inside the major arc;;;;;;;;[326]
8627:16170;8627;16170;7542;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
8628:15339;8628;15339;6710;None;Inside the major arc;;;;;;;;[326]
8629:15670;8629;15670;7040;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322; 330]
8629:14060;8629;14060;5430;None;Inside the major arc;;;;;;;;[326]
8630:16067;8630;16067;7436;None;Inside the major arc;;;;;;;ad-Oculopharyngeal muscular dy(...);[37]
8631:13513;8631;13513;4881;None;Inside the major arc;;;;;;;Chronic fatigue syndrome; Epid(...);[162; 314]
8631:13580;8631;13580;4948;None;Inside the major arc;KSS;;;;;;;[149]
8635:16074;8635;16074;7438;None;Inside the major arc;;;;;Inclusion body myopathy (ad);;;[22]
8636:13489;8636;13489;4852;None;Inside the major arc;;;;;;;Epidermal keranocytes (UVB irr(...);[314]
8637:16084;8637;16084;7446;None;Inside the major arc;;;;;;;Dilated cardiomyopathy; Termin(...);[147; 323]
8640:13378;8640;13378;4737;None;Inside the major arc;;;Aged tissues;;;;;[6]
8640:15369;8640;15369;6728;None;Inside the major arc;;;Aged tissues;;;;;[290]
8641:16143;8641;16143;7501;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
8643:16243;8643;16243;7599;None;Inside the major arc;;;Spermatozoa;;;;Trophoblast-like JAR cells (di(...);[27; 309]
8645:15656;8645;15656;7010;None;Inside the major arc;;;Aged tissues;;;;;[290]
8645:15686;8645;15686;7040;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8646:395;8646;395;8317;None;Inside the major arc;;;Stem cells;;;;;[303]
8647:15369;8647;15369;6721;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8648:16073;8648;16073;7424;None;Inside the major arc;;;;;;;Osteoarthritis;[307]
8648:16085;8648;16085;7436;None;Inside the major arc;PS; KSS;Mitochondrial myopathy; Patien(...);Sublimons; Aged tissues; Unfer(...);;Inclusion body myositis;Hepatic tumors;Cirrhotic liver; Diabetes mell(...);[18; 21-24; 29; 107; 144; 146;(...)
8649:16084;8649;16084;7434;None;Inside the major arc;;;Aged tissues;;;;;[324]
8651:16071;8651;16071;7419;None;Inside the major arc;;Mitochondrial myopathy;;;;;Proximal limb weakness; Chroni(...);[15]
8651:15881;8651;15881;7229;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8652:13569;8652;13569;4916;None;Inside the major arc;;;;;;;Epidermal keranocytes (UVB irr(...);[314]
8654:13476;8654;13476;4821;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8659:15788;8659;15788;7128;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8662:14817;8662;14817;6154;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
8662:16072;8662;16072;7409;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
8663:16075;8663;16075;7411;None;Inside the major arc;;;Aged tissues;;;;;[6]
8664:15363;8664;15363;6698;None;Inside the major arc;;;Aged tissues;;;;;[290]
8664:16060;8664;16060;7395;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8685:355;8685;355;8238;None;Inside the major arc;;;Stem cells;;;;;[303]
8688:15800;8688;15800;7111;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8689:15731;8689;15731;7041;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8697:15938;8697;15938;7240;None;Inside the major arc;;;;;;;ad-Oculopharyngeal muscular dy(...);[37]
8702:16064;8702;16064;7361;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8707:13723;8707;13723;5015;None;Inside the major arc;PEO;;;;;;;[115]
8711:13550;8711;13550;4838;None;Inside the major arc;;;;;;;Smokers;[16]
8711:15988;8711;15988;7276;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
8723:9215;8723;9215;491;None;Inside the major arc;;;;;;;Alcoholism;[50]
8728:13699;8728;13699;4970;None;Inside the major arc;;sideroblastic anemia/mitochond(...);;;;;Mild pancreatic insufficiency (...);[277]
8732:15969;8732;15969;7236;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8748:15823;8748;15823;7074;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8749:15910;8749;15910;7160;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8767:233;8767;233;8034;None;Inside the major arc;;;Stem cells;;;;;[303]
8768:16072;8768;16072;7303;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
8775:13991;8775;13991;5215;None;Inside the major arc;;sideroblastic anemia/mitochond(...);;;;;Mild pancreatic insufficiency (...);[277]
8777:14006;8777;14006;5228;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
8793:16075;8793;16075;7281;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8796:150;8796;150;7922;None;Inside the major arc;;;Stem cells;;;;;[303]
8796:15799;8796;15799;7002;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8810:15638;8810;15638;6827;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
8813:13304;8813;13304;4490;None;Inside the major arc;PEO;;;;;;;[18]
8813:16599;8813;16599;7785;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8815:15846;8815;15846;7030;None;Inside the major arc;;;Aged tissues;;;;;[175]
8817:15610;8817;15610;6792;None;Inside the major arc;PEO;;;;;;;[44]
8821:16051;8821;16051;7229;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8823:15855;8823;15855;7031;None;Inside the major arc;KSS; PEO;;;;;;;[11; 265]
8825:15658;8825;15658;6832;None;Inside the major arc;;;Aged tissues;;;;;[290]
8836:15525;8836;15525;6688;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8838:14906;8838;14906;6067;None;Inside the major arc;KSS;;;;;;Mitochondrial myopathy; Multis(...);[136; 137; 265]
8842:15525;8842;15525;6682;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8844:16003;8844;16003;7158;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8868:15895;8868;15895;7026;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8892:85;8892;85;7761;None;Inside the major arc;;;Stem cells;;;;;[303]
8893:15503;8893;15503;6609;None;Inside the major arc;;;Aged tissues;;;;;[32]
8899:16071;8899;16071;7171;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8899:16072;8899;16072;7172;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
8903:15325;8903;15325;6421;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8904:14903;8904;14903;5998;None;Inside the major arc;;;Aged tissues;;;;;[33]
8905:14110;8905;14110;5204;None;Inside the major arc;;;;;;;Chronic uremia;[38]
8914:16066;8914;16066;7151;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8915:16067;8915;16067;7151;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
8928:14531;8928;14531;5602;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
8930:13076;8930;13076;4145;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8933:13768;8933;13768;4834;None;Inside the major arc;;sideroblastic anemia/mitochond(...);;;;;Mild pancreatic insufficiency (...);[277]
8973:16007;8973;16007;7033;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
8989:13997;8989;13997;5007;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
8992:16072;8992;16072;7079;None;Inside the major arc;;;;;;Hepatic tumors;Cirrhotic liver; Cardiomyopath(...);[144-146]
8992:16074;8992;16074;7081;None;Inside the major arc;;;;;;Hepatic tumors;Cirrhotic liver;[25; 146]
8993:13563;8993;13563;4569;None;Inside the major arc;;ad-PEO;;;;;;[176]
8996:16070;8996;16070;7073;None;Inside the major arc;;;;;Inclusion body myositis;;;[24; 25]
9009:16355;9009;16355;7345;None;Inside the major arc;;;Spermatozoa;;;;;[27]
9013:16088;9013;16088;7074;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9016:14576;9016;14576;5559;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
9021:13833;9021;13833;4811;None;Inside the major arc;PEO;;;;;;;[18]
9032:14057;9032;14057;5024;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329-330]
9062:16069;9062;16069;7006;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
